AnimalType,Name,SpecificBreed,PrimaryBreed,PrimaryColour,De-sexed,Gender,Age,Locality
D         ,UNKNOWN DOG NAME,POODLETOY ,POODLE,Grey      ,Y,F,32,NINDERRY
D         ,Emie,FOXTERRMN ,FOXTER,BlackWhite,Y,F,21,BURNSIDE
D         ,Jess,MALTESE   ,MALTES,White     ,Y,M,17,BLI BLI
D         ,Style,BICHONFRS ,BICHON,White     ,Y,F,23,SIPPY DOWNS
D         ,Benny,SPANIELCV ,SPANIE,BlackWhite,Y,M,12,MAROOCHYDORE
D         ,Mifty,FOXTERRMN ,FOXTER,BlackWhite,Y,F,21,KULUIN
D         ,Jesse,LABRADORX ,LABRAD,Black     ,Y,M,22,COOLUM BEACH
D         ,Pat,LABRADOR  ,LABRAD,Gold      ,Y,M,22,EUDLO
D         ,Matilda Madeline,SHIHTZUX  ,SHIHTZ,White     ,Y,F,12,PACIFIC PARADISE
D         ,Lily,JACKRUSSL ,JACKRU,WhiteTan  ,Y,F,20,MAROOCHYDORE
D         ,Reggie,KELPIEAUS ,KELPIE,Red       ,Y,M,14,WEYBA DOWNS
D         ,Chloe,STAFFRDBT ,STAFFR,BlackBrinW,Y,F,19,NAMBOUR
D         ,Hanson,SHEEPDGSH ,SHEEPD,TriColour ,Y,M,19,BUDERIM
D         ,Sebastian,SPANIELCV ,SPANIE,Blenheim  ,Y,M,20,BLI BLI
D         ,Maxwell,SHIHTZUX  ,SHIHTZ,TanWhite  ,Y,M,19,MOOLOOLABA
D         ,Biddy,MALTESTOYX,MALTES,White     ,Y,F,19,MAROOCHYDORE
D         ,Jack,ALSATIAN  ,ALSATI,BlackBrown,Y,M,18,MONS
D         ,Anya,COLLBORDR ,COLLBO,BlackWhite,Y,F,18,ROSEMOUNT
D         ,Gizmo,SHIHTZU   ,SHIHTZ,Apricot   ,Y,F,21,BUDERIM
D         ,Shani,COLLBORDRX,COLLBO,Brindle   ,Y,F,18,BUDERIM
D         ,Tigga,JACKRUSSLX,JACKRU,TanWhite  ,Y,M,18,YANDINA
D         ,Bess,POODLEMIN ,POODLE,Black     ,Y,F,17,MOUNT COOLUM
D         ,Delilah,BICHONFRS ,BICHON,White     ,Y,F,19,SIPPY DOWNS
D         ,Bronson,CATTLEDOGX,CATTLE,BlackBlue ,Y,M,18,SIPPY DOWNS
D         ,Pippi,MALTESEX  ,MALTES,White     ,Y,M,20,BUDERIM
D         ,Max,JACKRUSSL ,JACKRU,TanWhite  ,Y,M,18,NORTH ARM
D         ,Max,COLLBORDR ,COLLBO,BlackWhite,Y,M,17,BUDERIM
D         ,Russell,JACKRUSSL ,JACKRU,Multicol  ,Y,M,17,MAROOCHYDORE
D         ,Fred,RIDGEBACK ,RIDGEB,Red       ,Y,M,18,NAMBOUR
D         ,Lucky,TERRIERTN ,TERRIE,WhiteTan  ,Y,M,17,BLI BLI
D         ,Aussie,CATTLEDOG ,CATTLE,BlackGrey ,Y,M,17,TANAWHA
D         ,Matilda,MALTESEX  ,MALTES,BlackTan  ,Y,F,17,WOOMBYE
D         ,Ricky,FOXTERRIEX,FOXTER,WhiteTan  ,Y,M,19,MAPLETON
D         ,Isabella,BEAGLE    ,BEAGLE,WhiteBlakT,Y,F,17,BLI BLI
D         ,Lucy,JACKRUSSLX,JACKRU,BrownWhite,Y,F,17,BLI BLI
D         ,Molly,MALTESE   ,MALTES,White     ,Y,F,17,COOLUM BEACH
D         ,Ryan,SPANIELKCX,SPANIE,Blenheim  ,Y,M,17,PEREGIAN BEACH
D         ,Poppy,JACKRUSSL ,JACKRU,TanWhite  ,Y,F,17,BUDERIM
D         ,Chloe,MALTESE   ,MALTES,White     ,Y,F,16,MOOLOOLABA
D         ,Coco,LHASAAPSO ,LHASAA,White     ,Y,M,18,MOUNTAIN CREEK
D         ,Milly,COLLBORDRX,COLLBO,BlackWhite,Y,F,17,MONTVILLE
D         ,Jewels,SPANIELCK ,SPANIE,BlackWhite,Y,F,21,MAPLETON
D         ,Beau,SHIHTZU   ,SHIHTZ,Cream     ,Y,M,17,MUDJIMBA
D         ,Holly,TERRIERMNX,TERRIE,TanWhite  ,Y,F,16,NAMBOUR
D         ,Shadow,JACKRUSSL ,JACKRU,BlackWhite,Y,F,17,YAROOMBA
D         ,Lilo,LHASAAPSOX,LHASAA,Tan       ,Y,F,17,MUDJIMBA
D         ,Minnie,TERRIERSIX,TERRIE,WhiteGrey ,Y,F,20,MAROOCHYDORE
D         ,Shiva,CATTLEDOGX,CATTLE,Brown     ,Y,F,16,COOLABINE
D         ,Zoe,COLLBORDRX,COLLBO,Red       ,Y,F,17,BELLI PARK
D         ,Max,MALTESEX  ,MALTES,Black     ,Y,M,16,MOUNT COOLUM
D         ,Razz,JACKRUSSLX,JACKRU,WhiteTan  ,Y,M,16,DIDDILLIBAH
D         ,Bonnie,JACKRUSSL ,JACKRU,CreamTan  ,Y,F,17,ROSEMOUNT
D         ,Tara,SPANIELTB ,SPANIE,WhiteTan  ,Y,F,16,MOOLOOLABA
D         ,Jedda,JACKRUSSL ,JACKRU,TriColour ,Y,F,18,MAPLETON
D         ,Buddy,POODLEMIN ,POODLE,BlackGrey ,Y,M,17,ROSEMOUNT
D         ,Roxy,STAFFRDBT ,STAFFR,BrownWhite,Y,F,18,MAROOCHYDORE
D         ,Diesel,LHASAAPSO ,LHASAA,Silver    ,Y,M,16,BUDERIM
D         ,Malibu,BICHONFRS ,BICHON,White     ,Y,M,16,COOLUM BEACH
D         ,Spot,TERRIERTN ,TERRIE,TriColour ,Y,F,16,MUDJIMBA
D         ,Boston,LABRADOODL,LABRAD,Cream     ,Y,M,17,SIPPY DOWNS
D         ,Bumba,COLLBORDRX,COLLBO,BlackGrey ,Y,M,16,KULUIN
